"ID","Code","Scientific Name","Common Name"
565,CY8,Cypholophus,"Lopleaf spp"
566,CY10,Cyrilla,"Titi spp"
567,CY11,Cyrtandra,"Cyrtandra spp"
569,DA1,Dacryodes,"Dacryodes spp"
570,DA2,Dalbergia,"Indian Rosewood spp"
571,DA3,Dalea,"Prairie Clover spp"
574,DA6,Dasiphora,"Shrubby Cinquefoil spp"
575,DE2,Dedeckera,"July Gold spp"
576,DE3,Deeringothamnus,"False Pawpaw spp"
577,DE4,Delissea,"Delissea spp"
578,DE5,Delonix,"Delonix spp"
581,DE10,Dendropemon,"Leechbush spp"
582,DE11,Dendrophthora,"Tree Destroyer spp"
583,DE12,Derris,"Derris spp"
584,DE15,Deutzia,"Pride-of-rochester spp"
585,DI2,Dichrostachys,"Dichrostachys spp"
586,DI3,Diervilla,"Bush Honeysuckle spp"
588,DI6,Diospyros,"Diospyros spp"
589,DI7,Diphysa,"Diphysa spp"
591,DI10,Dirca,"Leatherwood spp"
598,DU1,Dubautia,"Dubautia spp"
599,DU2,Duranta,"Duranta spp"
603,ED1,Edgeworthia,"Paperbush spp"
604,EH1,Ehretia,"Ehretia spp"
605,EL1,Elaeagnus,"Elaeagnus spp"
608,EL4,Eleutherococcus,"Ginseng spp"
609,EL5,Elliottia,"Elliottia spp"
610,EM1,Embelia,"Embelia spp"
612,EM3,Emorya,"Emorya spp"
613,EN1,Encelia,"Brittlebush spp"
614,EN3,Entada,"Callingcard Vine spp"
615,EN4,Enterolobium,"Enterolobium spp"
618,ER5,Ericameria,"Ericameria spp"
623,ER15,Erythrina,"Erythrina spp"
624,ER16,Erythroxylum,"Coca spp"
626,ES3,Esenbeckia,"Jopoy spp"
627,EU2,Eubrachion,"Tapeworm-plant spp"
629,EU5,Eucommia,"Eucommia spp"
631,EUSP,Euonymus,"Spindletree spp"
632,EU8,Euphorbia,"Spurge spp"
636,EX2,Exochorda,"Pearlbrush spp"
639,EY1,Eysenhardtia,"Kidneywood spp"
640,FA,Fagus,"Beech spp"
641,FA2,Falcataria,"Peacocksplume spp"
642,FA3,Fallugia,"Apache Plume spp"
645,FE1,Fendlera,"Fendlerbush spp"
646,FE2,Fendlerella,"Utah Fendlerbush spp"
649,FI3,Firmiana,"Parasoltree spp"
650,FI4,Fitchia,"Fitchia spp"
651,FL1,Flacourtia,"Flacourtia spp"
652,FL5,Flindersia,"Flindersia spp"
653,FL6,Flourensia,"Tarwort spp"
654,FL7,Flueggea,"Bushweed spp"
655,FO1,Fontanesia,"Fontanesia spp"
656,FO2,Forchhammeria,"Forchhammeria spp"
657,FO3,Forestiera,"Swampprivet spp"
658,FORS,Forsythia,"Forsythia spp"
660,FO5,Fothergilla,"Witchalder spp"
661,FO6,Fouquieria,"Ocotillo spp"
662,FR1,Frangula,"Buckthorn spp"
663,FR3,Franklinia,"Franklin Tree spp"
664,FR,Fraxinus,"Ash spp"
666,FU1,Fuchsia,"Fuchsia spp"
672,GA2,Gardenia,"Gardenia spp"
675,GA1,Gaylussacia,"Huckleberry spp"
677,GE3,Genipa,"Genipa spp"
678,GE4,Genista,"Genista spp"
679,GE5,Genistidium,"Brushpea spp"
682,GI2,Ginkgo,"Ginkgo spp"
683,GI3,Ginoria,"Ginoria spp"
684,GL3,Gleditsia,"Locust spp"
685,GL4,Gliricidia,"Quickstick spp"
686,GL5,Glossopetalon,"Greasebush spp"
687,GL6,Glycosmis,"Glycosmis spp"
688,GM1,Gmelina,"Gmelina spp"
689,GO1,Gochnatia,"Gochnatia spp"
693,GO6,Gonzalagunia,"Gonzalagunia spp"
696,GO9,Gouania,"Chewstick spp"
697,GR1,Graffenrieda,"Graffenrieda spp"
702,GU2,Guapira,"Guapira spp"
706,GU6,Guettarda,"Guettarda spp"
710,GY3,Gymnocladus,"Coffeetree spp"
711,HA1,Haematoxylum,"Haematoxylum spp"
713,HA,Halesia,"Silverbell spp"
714,HA3,Halimodendron,"Halimodendron spp"
715,HA6,Hamamelis,"Witchhazel spp"
720,HA14,Hazardia,"Bristleweed spp"
728,HE12,Heliocarpus,"Heliocarpus spp"
729,HE15,Hemizonia,"Rosinweed spp"
732,HE20,Hesperomannia,"Island-aster spp"
734,HE23,Heteropterys,"Withe spp"
736,HI1,Hibiscadelphus,"Hibiscadelphus spp"
740,HI4,Hippophae,"Seabuckthorn spp"
743,HO4,Holodiscus,"Oceanspray spp"
745,HO9,Hovenia,"Hovenia spp"
746,HU4,Hura,"Sandbox Tree spp"
747,HYSP,Hydrangea,"Hydrangea spp"
751,HY4,Hymenoclea,"Burrobrush spp"
754,HY8,Hypericum,"St. Johnswort spp"
755,HY9,Hyptis,"Bushmint spp"
758,IN1,Indigofera,"Indigo spp"
762,IT1,Itea,"Sweetspire spp"
763,IV1,Iva,"Marshelder spp"
765,JA1,Jacaranda,"Jacaranda spp"
767,JA5,Jamesia,"Cliffbush spp"
768,JA6,Jasminum,"Jasmine spp"
769,JA7,Jatropha,"Nettlespurge spp"
770,JU1,Juglans,"Walnut spp"
775,KA2,Kalopanax,"Castor Aralia spp"
776,KA3,Kanaloa,"Kanaloa spp"
778,KE1,Keckiella,"Keckiella spp"
779,KE3,Kerria,"Kerria spp"
780,KH1,Khaya,"African Mahogany spp"
781,KI1,Kigelia,"Sausage Tree spp"
783,KO3,Koeberlinia,"Allthorn spp"
784,KO4,Koelreuteria,"Koelreuteria spp"
785,KO5,Kokia,"Treecotton spp"
786,KO6,Kolkwitzia,"Kolkwitzia spp"
787,KR1,Krameria,"Ratany spp"
789,LA1,Labordia,"Labordia spp"
790,LA2,Laburnum,"Golden Chain Tree spp"
792,LA4,Lagascea,"Lagascea spp"
793,LA6,Lagerstroemia,"Lagerstroemia spp"
797,LA10,Larix,"Larch spp"
799,LA13,Lasianthus,"Lasianthus spp"
805,LE5,Leitneria,"Corkwood spp"
806,LE6,Leonotis,"Lion's Ear spp"
807,LE10,Lepidospartum,"Broomsage spp"
809,LE13,Leptopus,"Maidenbush spp"
811,LE16,Lespedeza,"Lespedeza spp"
814,LE21,Leucothoe,"Doghobble spp"
815,LE22,Leycesteria,"Leycesteria spp"
816,LI1,Licania,"Licania spp"
818,LISP,Ligustrum,"Privet spp"
820,LI5,Lindera,"Spicebush spp"
821,LI8,Lippia,"Lippia spp"
822,LI9,Liquidambar,"Sweetgum spp"
823,LI10,Liriodendron,"Tuliptree spp"
826,LI15,Lithraea,"Lithraea spp"
828,LI17,Litsea,"Litsea spp"
831,LO4,Lonchocarpus,"Lancepod spp"
832,LOSP,Lonicera,"Honeysuckle spp"
834,LU2,Luehea,"Luehea spp"
835,LU5,Lunania,"Lunania spp"
836,LY1,Lycianthes,"Lycianthes spp"
837,LY2,Lycium,"Desert-thorn spp"
839,LY6,Lyonia,"Staggerbush spp"
846,MA7,Machaonia,"Machaonia spp"
847,MA8,Maclura,"Maclura spp"
848,MA10,Maesopsis,"Umbrella-tree spp"
849,MA1,Magnolia,"Magnolia spp"
851,MA13,Malacomeles,"False Serviceberry spp"
856,MA2,Malus,"Apple spp"
861,MA27,Manihot,"Manihot spp"
864,MA31,Margaritaria,"Margaritaria spp"
868,MA36,Matelea,"Milkvine spp"
870,ME2,Mecranium,"Mecranium spp"
874,ME8,Melia,"Melia spp"
877,ME11,Meliosma,"Meliosma spp"
878,ME13,Melochia,"Melochia spp"
879,ME14,Menodora,"Menodora spp"
880,ME16,Menziesia,"Menziesia spp"
881,ME17,Mespilus,"Mespilus spp"
882,ME18,Metasequoia,"Dawn Redwood spp"
888,MI4,Mimosa,"Sensitive Plant spp"
892,MO6,Morella,"Bayberry spp"
894,MO8,Moringa,"Moringa spp"
897,MO,Morus,"Mulberry spp"
899,MU1,Muehlenbeckia,"Maidenhair Vine spp"
900,MU2,Munroidendron,"Munroidendron spp"
907,MY4,Myrciaria,"Guavaberry spp"
908,MY5,Myrica,"Sweetgale spp"
910,MY7,Myrospermum,"Myrospermum spp"
916,NE3,Nemopanthus,"Nemopanthus spp"
917,NE4,Neolamarckia,"Neolamarckia spp"
919,NE9,Neraudia,"Ma'oloa spp"
922,NE14,Nestegis,"Nestegis spp"
923,NE15,Nestronia,"Nestronia spp"
924,NE17,Neviusia,"Snow-wreath spp"
928,NO2,Nothocestrum,"Aiea spp"
929,NO4,Nothofagus,"Nothofagus spp"
930,NO5,Nototrichium,"Rockwort spp"
932,NY2,Nyssa,"Tupelo spp"
933,OC1,Ochna,"Ochna spp"
938,OE1,Oemleria,"Oemleria spp"
940,OL3,Olneya,"Olneya spp"
942,OP1,Oplonia,"Oplonia spp"
943,OP2,Oplopanax,"Oplopanax spp"
949,OS4,Ostrya,"Hophornbean spp"
950,OT1,Ottoschulzia,"Ottoschulzia spp"
953,OX3,Oxydendrum,"Swamp Cranberry spp"
954,PA1,Pachira,"Pachira spp"
956,PA5,Paederia,"Sewer Vine spp"
958,PA8,Paliurus,"Jeruselem Thorn spp"
962,PA13,Parkinsonia,"Paloverde spp"
964,PA16,Parryella,"Parryella spp"
966,PA18,Parthenocissus,"Creeper spp"
967,PA19,Paulownia,"Paulownia spp"
969,PE3,Pedilanthus,"Pedilanthus spp"
970,PE6,Peltophorum,"Peltophorum spp"
971,PE11,Pentzia,"Pentzia spp"
973,PE13,Peraphyllum,"Peraphyllum spp"
974,PE14,Pereskia,"Pereskia spp"
975,PE17,Perrottetia,"Perrottetia spp"
976,PE18,Persea,"Bay spp"
980,PH2,Phaulothamnus,"Phaulothamnus spp"
981,PH3,Phellodendron,"Corktree spp"
983,PHSP,Philadelphus,"Mock Orange spp"
986,PHSP2,Photinia,"Chokeberry spp"
987,PH11,Phyllanthus,"Leafflower spp"
989,PH16,Physocarpus,"Ninebark spp"
994,PI6,Picrasma,"Picrasma spp"
995,PI8,Pictetia,"Pictetia spp"
1001,PI13,Pinckneya,"Pinckneya spp"
1007,PI19,Piscidia,"Piscidia spp"
1009,PI21,Pistacia,"Pistache spp"
1010,PI22,Pithecellobium,"Blackbead spp"
1012,PL1,Planera,"Planertree spp"
1013,PL3,Platanus,"Sycamore spp"
1020,PL13,Plumeria,"Plumeria spp"
1022,PO4,Poitea,"Wattapama spp"
1023,PO7,Polygala,"Polygala spp"
1026,PO11,Poncirus,"Poncirus spp"
1028,PO,Populus,"Cottonwood spp"
1029,PO2,Potentilla,"Cinquefoil spp"
1031,PO16,Pouzolzia,"Pouzolzia spp"
1032,PR1,Premna,"Premna spp"
1036,PR6,Prosopis,"Mesquite spp"
1037,PR7,Proustia,"Proustia spp"
1038,PR,Prunus,"Plum spp"
1039,PS3,Pseudanamomis,"Pseudanamomis spp"
1041,PS6,Pseudocydonia,"Chinese-quince spp"
1042,PS8,Pseudolarix,"Golden Larch spp"
1048,PS16,Psorothamnus,"Dalea spp"
1050,PT1,Ptelea,"Hoptree spp"
1051,PT2,Pteralyxia,"Pteralyxia spp"
1052,PT3,Pterocarpus,"Pterocarpus spp"
1053,PT4,Pterocarya,"Pterocarya spp"
1056,PU,Punica,"Pomegranate spp"
1057,PU2,Purshia,"Cliff Rose spp"
1059,PY3,Pyrularia,"Pyrularia spp"
1060,PY,Pyrus,"Pear spp"
1063,QU,Quercus,"Oak spp"
1065,RA1,Randia,"Indigoberry spp"
1067,RA3,Rauvolfia,"Devil's-pepper spp"
1070,RE1,Remya,"Remya spp"
1071,RE2,Reynoldsia,"Reynoldsia spp"
1073,RHSP2,Rhamnus,"Rhamnus spp"
1078,RH5,Rhodotypos,"Rhodotypos spp"
1079,RHSP,Rhus,"Sumac spp"
1080,RH7,Rhytidophyllum,"Tibey-amarillo spp"
1081,RISP,Ribes,"Currant spp"
1083,ROSP2,Robinia,"Robinia spp"
1084,RO1,Rochefortia,"Rochefortia spp"
1088,RO,Rosa,"Rose spp"
1090,RO8,Rourea,"Rourea spp"
1092,RU,Rubus,"Blackberry spp"
1094,SA4,Sabicea,"Woodvine spp"
1096,SA6,Sageretia,"Mock Buckthorn spp"
1097,SA7,Sagraea,"Hogwood spp"
1098,SA9,Salazaria,"Bladdersage spp"
1099,SA,Salix,"Willow spp"
1100,SA10,Salmea,"Bejuco De Miel spp"
1103,SA2,Sambucus,"Elderberry spp"
1104,SA14,Samyda,"Samyda spp"
1107,SA18,Sapindus,"Soapberry spp"
1108,SA19,Sapium,"Milktree spp"
1109,SA20,Sarcobatus,"Greasewood spp"
1110,SA23,Sassafras,"Sassafras spp"
1111,SA26,Savia,"Savia spp"
1115,SC4,Schiedea,"Schiedea spp"
1117,SC6,Schisandra,"Schisandra spp"
1118,SC7,Schizolobium,"Brazilian Firetree spp"
1119,SC9,Schlegelia,"Schlegelia spp"
1121,SC12,Schradera,"Schradera spp"
1122,SC14,Scolosanthus,"Scolosanthus spp"
1124,SE2,Securidaca,"Securidaca spp"
1126,SE7,Senna,"Senna spp"
1130,SE10,Serianthes,"Serianthes spp"
1132,SE13,Sesbania,"Riverhemp spp"
1133,SE14,Severinia,"Severinia spp"
1134,SH1,Shepherdia,"Buffaloberry spp"
1136,SI6,Sideroxylon,"Bully spp"
1142,SO3,Sophora,"Necklacepod spp"
1143,SO4,Sorbaria,"False Spiraea spp"
1144,SO,Sorbus,"Mountain Ash spp"
1147,SPSP,Spiraea,"Spirea spp"
1148,SP7,Spondias,"Mombin spp"
1151,ST5,Staphylea,"Bladdernut spp"
1152,ST6,Stegnosperma,"Stegnosperma spp"
1154,ST8,Stenogyne,"Stenogyne spp"
1155,ST11,Stephanandra,"Stephanandra spp"
1156,ST13,Sterculia,"Sterculia spp"
1157,ST15,Stewartia,"Stewartia spp"
1163,ST22,Stylogyne,"Stylogyne spp"
1165,ST25,Styrax,"Snowbell spp"
1167,SW1,Swietenia,"Mahogany spp"
1169,SY2,Symphoricarpos,"Snowberry spp"
1170,SY4,Symphysia,"Symphysia spp"
1171,SY5,Symplocos,"Sweetleaf spp"
1173,SYSP,Syringa,"Lilac spp"
1175,TASP,Tabebuia,"Trumpet-tree spp"
1178,TA2,Tamarix,"Tamarisk spp"
1179,TA9,Tamonea,"Tamonea spp"
1182,TE1,Tecoma,"Trumpetbush spp"
1183,TE2,Tectona,"Tectona spp"
1185,TE4,Terminalia,"Troipical Almond spp"
1187,TE8,Tetracoccus,"Shrubby-spurge spp"
1189,TE12,Tetramolopium,"Tetramolopium spp"
1192,TE16,Tetrapterys,"Tetrapterys spp"
1202,TI1,Tibouchina,"Glorytree spp"
1203,TI,Tilia,"Basswood spp"
1204,TO2,Toona,"Redcedar spp"
1207,TO5,Touchardia,"Touchardia spp"
1209,TO7,Toxicodendron,"Poison Oak spp"
1212,TR5,Trematolobelia,"False Lobelia spp"
1213,TR7,Triadica,"Tallowtree spp"
1214,TR8,Trichilia,"Trichilia spp"
1216,TR12,Triumfetta,"Triumfetta spp"
1217,TR13,Trixis,"Threefold spp"
1220,TU3,Turpinia,"Turpinia spp"
1222,ULS,Ulmus,"Elm spp"
1224,UN1,Ungnadia,"Ungnadia spp"
1227,VA1,Vaccinium,"Blueberry spp"
1229,VA3,Vallesia,"Vallesia spp"
1230,VA4,Vanclevea,"Vanclevea spp"
1231,VA5,Vangueria,"Vangueria spp"
1233,VE4,Vernicia,"Vernicia spp"
1234,VISP2,Viburnum,"Viburnum spp"
1235,VI5,Vitex,"Chastetree spp"
1236,VISP1,Vitis,"Grape spp"
1237,WA1,Wallenia,"Jacanillo spp"
1238,WA3,Waltheria,"Waltheria spp"
1241,WE,Weigela,"Weigela spp"
1245,WI3,Wilkesia,"Iliau spp"
1246,XI1,Ximenia,"Ximenia spp"
1248,XY3,Xylosma,"Xylosma spp"
1250,ZA2,Zanthoxylum,"Pricklyash spp"
1251,ZE,Zelkova,"Zelkova spp"
1252,ZE2,Zenobia,"Honeycup spp"
1253,ZI1,Ziziphus,"Jujube spp"
1254,BR15,Brassaia,"Brassaia spp"
1255,BU8,Bumelia,"Bumelia spp"
1256,CA56,Castanopsis,"Castanopsis spp"
1257,CE22,Cercidium,"Cercidium spp"
1259,CO43,Cowania,"Bitterbrush spp"
1260,DI12,Dipholis,"Willow Bustic spp"
1261,LU7,Luma,"Luma spp"
1262,PO17,Pongamia,"Pongame spp"
1266,PA3,Patagonula,"Patagonula spp"
1268,PA,Parrotia,"Ironwood spp"
1269,AF,Afrormosia,"Afromosia spp"
1283,CA57,Calodendrum,"Calodendrum spp"
1285,EU99,Eucryphia,"Eucryphia spp"
1296,DO,Dombeya,"Dombeya spp"
1297,MY,Myrocarpus,"Myrocarpus spp"
1298,PA4,Parapiptadenia,"Parapiptadenia spp"
1301,CH31,"x Chitalpa","Chitalpa spp"
1302,CO40,Cocculus,"Cocculus spp"
1309,WI,Wisteria,"Wisteria spp"
1331,DA7,Davidia,"Davidia spp"
1347,TO,Toxicocendron,"Toxicocendron spp"
1362,MA,Maackia,"Maackia spp"
1368,PS1,Pseudobombax,"Pseudobombax spp"
1386,BO3,Bombax,"Bombax spp"
1390,CA31,Canarium,"Canarium spp"
1397,CO32,Corylopsis,"Corylopsis spp"
1405,DI1,Dipteronia,"Dipteronia spp"
1420,HO6,Hoheria,"Hoheria spp"
1435,MI5,Millettia,"Millettia spp"
1452,PT,Pterostyrax,"Pterostyrax spp"
1469,TE7,Tetradium,"Tetradium spp"
1470,ST1,Strobilanthes,"Strobilanthes spp"
1475,SM,Smilax,Smilax
1506,AR23,Arthrocarpum,"Arthrocarpum spp"
1577,AC6,Actinidia,"Actinidia spp"
1583,ABCH,"Abelia chinensis",Abelia
1584,ABGR4,"Abelia x grandiflora","Glossy abelia"
1600,ABBE,"Abutilon berlandieri","Berlandier indian mallow"
1601,ABER,"Abutilon eremitopetalum","Hiddenpetal indian mallow"
1602,ABGR3,"Abutilon grandifolium","Hairy indian mallow"
1603,ABME2,"Abutilon menziesii","Ko'oloa 'ula"
1604,ABPA,"Abutilon palmeri","Palmer's indian mallow"
1605,ABSA2,"Abutilon sandwicense","Greenflower indian mallow"
1606,ABVI2,"Bastardiopsis eggersii","Van dyke's indian mallow"
1607,ACAN4,"Acacia anegadensis","Blackbrush wattle"
1611,ACBE,"Acacia berlandieri",Guajillo
1612,ACCA2,"Acacia caven","Roman cassie"
1613,ACCH,"Acacia choriophylla",Cinnecord
1614,ACCO,"Acacia confusa","Small philippine acacia"
1615,ACCO2,"Acacia constricta","Whitethorn acacia"
1616,ACCO5,"Acacia cornigera","Bullhorn wattle"
1620,ACEL,"Acacia elata","Cedar wattle"
1621,ACFA,"Acacia farnesiana","Sweet acacia"
1622,ACGR2,"Acacia greggii","Catclaw acacia"
1623,ACKO,"Acacia koa",Koa
1626,ACMA2,"Vachellia macracantha",Porknut
1629,ACME2,"Senegalia mellifera","Black thorn acacia"
1630,ACMI,"Acacia millefolia","Milfoil wattle"
1631,ACMU,"Acacia muricata","Spineless wattle"
1632,ACNE4,"Acacia neovernicosa","Viscid acacia"
1633,ACNI2,"Vachellia nilotica","Gum arabic tree"
1635,ACPA81,"Acacia parramattensis","South wales wattle"
1636,ACPI,"Acacia pinetorum","Pineland wattle"
1638,ACPO3,"Acacia polyacantha","Catechu tree"
1640,ACRE,"Acacia reficiens","Acacia reficiens"
1641,ACRE9,"Acacia redolens","Bank catclaw"
1643,ACRE4,"Acacia retusa","Catch and keep"
1644,ACRI,"Acacia rigidula","Blackbrush acacia"
1645,ACRO,"Acacia roemeriana","Roundflower catclaw"
1647,ACSC2,"Acacia schaffneri","Schaffner's wattle"
1648,ACSC,"Acacia schottii","Schott's wattle"
1649,ACSE,"Acacia semperflorens","Aromo en flor"
1650,ACSP4,"Acacia sphaerocephala","Bee wattle"
1651,ACTO,"Acacia tortuosa","Twisted acacia"
1653,ACVI,"Acacia visco","Acacia visco"
1654,ACVO,"Senegalia vogeliana","Macata bourse bastard"
1660,ACBA,"Acer barbatum","Florida maple"
1661,ACBU,"Acer buergerianum","Trident maple"
1662,ACCA,"Acer campestre","Hedge maple"
1663,ACCI,"Acer circinatum","Vine maple"
1664,ACGI,"Acer tataricum ssp. ginnala","Amur maple"
1665,ACGL,"Acer glabrum","Rocky mountain maple"
1666,ACGR3,"Acer grandidentatum","Bigtooth maple"
1667,ACGR,"Acer griseum","Paperbark maple"
1668,ACJA2,"Acer japonicum","Fullmoon maple"
1669,ACLE,"Acer leucoderme","Chalk maple"
1670,ACMA,"Acer macrophyllum","Bigleaf maple"
1671,ACMO,"Acer pictum ssp. Mono","Painted maple"
1672,ACNE,"Acer negundo",Boxelder
1673,ACNI,"Acer nigrum","Black maple"
1674,ACPA,"Acer palmatum","Japanese maple"
1675,ACPE,"Acer pensylvanicum","Striped maple"
1676,ACPL,"Acer platanoides","Norway maple"
1677,ACPS,"Acer pseudoplatanus","Sycamore maple"
1678,ACRU,"Acer rubrum","Red maple"
1679,ACSA1,"Acer saccharinum","Silver maple"
1680,ACSA2,"Acer saccharum","Sugar maple"
1681,ACSP,"Acer spicatum","Mountain maple"
1682,ACTA,"Acer tataricum","Tatar maple"
1683,ACFR,"Acer x freemanii","Freeman maple"
1691,ADDI3,"Adansonia digitata",Baobab
1692,ADRI,"Adelia ricinella","Wild lime"
1693,ADVA,"Adelia vaseyi","Vasey's wild lime"
1694,ADPA,"Adenanthera pavonina","Red beadtree"
1697,ADCA2,"Adolphia californica","California prickbush"
1698,ADIN,"Adolphia infesta",Junco
1704,AEWO,"Aesculus x woerlitzensis","Aesculus x woerlitzensis"
1705,AEBU,"Aesculus x bushii","Bush's chesnut"
1706,AECA2,"Aesculus californica","California buckeye"
1707,AECH,"Aesculus chinensis","Aesculus chinensis"
1708,AEFL,"Aesculus flava","Yellow buckeye"
1709,AEGL,"Aesculus glabra","Ohio buckeye"
1710,AEHI,"Aesculus hippocastanum","Horse chestnut"
1711,AEHY,"Aesculus x hybrida","Hybrid chesnut"
1712,AEMA2,"Aesculus x marylandica","Maryland chesnut"
1713,AEMU,"Aesculus x mutabilis",Chesnut
1714,AENE,"Aesculus x neglecta","Dwarf buckeye"
1715,AEPA2,"Aesculus parviflora","Bottlebrush buckeye"
1716,AEPA,"Aesculus pavia","Red buckeye"
1717,AESY,"Aesculus sylvatica","Painted buckeye"
1718,AECA,"Aesculus x carnea","Red horsechestnut"
1722,AIAL,"Ailanthus altissima","Tree of heaven"
1724,ALAD,"Albizia adinocephala","Cream albizia"
1725,ALCA8,"Albizia carbonaria","Naked albizia"
1726,ALCH2,"Albizia chinensis","Chinese albizia"
1727,ALJU,"Albizia julibrissin","Persian silk tree"
1728,ALLE,"Albizia lebbeck","Acacia amarilla"
1729,ALLE2,"Albizia lebbekoides","Indian albizia"
